Name,sub_title,tags,Category,url,files,UUiD,notes,time_stamp
George Lincoln Rockwell- National Socialism on marxist communist evolution doctrine,George Lincoln Rockwell- National Socialism on marxist communist evolution doctrine,"Futurist,Historical Trends,Advanced Tech,Technologist,Tech Industry,Dystopian,Robotics,Genetic Engineering",Red Pills,https://rumble.com/v2uiw7q-george-lincoln-rockwell-national-socialism-on-marxist-communist-evolution-d.html,Social media image from rumble.com on 2023-09-01 at 1.19.06 AM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/0bRGhtDc1JJCjxh4ImlcQw/mPv-lsorSCrjEX2-CI11Vo9j6EhMc_ZxCszWNgLhODUY6wTIrDo1YvzoIpXWa4-eg_jujnBOhSrfWsWXSy9RfieRK4O_t3Grk-UCxk-VIWj5hD7AD61RC22F0eDy8NDTh22zjXvKXCLTUfeAzQ_k4uLr3k2tiSEE5oaUZUDn1qM/_cXuRB1f3QJ_ldqtkimDZ_yf86hKsG8XgJg5E2YcKYI),recSngzqPU4nujVjo,,9/1/2023
Christians Wake Up! State of Israel is the Synagogue of Satan of Revelations 3:9,Satanic Israel,"Jews,Zionism,Israel,War Against Christians,Economic Warfare,War Agasint Whites,Genocide",Red Pills,https://www.bitchute.com/video/K42rrfmhYBRt/,Social media image from www.bitchute.com on 2023-09-01 at 1.12.03 AM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/e7ze2utSHUPZb_IG4RTs7w/UnjAHExU2E6DT-liStKl_aoC7dRtlAcethQVbOFuQ7Xt-KZkT1bZ5dSr2ZeG0CbK_cllBLBwXDH4j9sNKbpMfj9WDxrVVllZN-SItqcO4fw7FXqgs_sXzDypdzm-5cBHTEmq_qTw0wofea05DAoC5BmD34VhtvADdLTSUuwPJBQ/s3JFDYhyH2treqBy--pwHnXzVJOpEt1Gl2XRTus_lUE),reca3RZioInThZikw,,9/1/2023
Ukrainian SS Soldier Recalls 'Jewish Mob Looking For Christians To Murder' During Red Terror - Christians for Truth,(Mourning The Ancient) Fedor Kazan — a member of the Ukrainian 14th Waffen Grenadier Division of the SS (1st Galician) and Ukrainian Defense Force member — was interviewed in Detroit in 1990 — describing what it was like growing up in the Ukraine during the Red Terror — the judeo-communist takeover of his country — and how this experience led him to join the Ukrainian alliance with the German SS.,"WW2,Ukraine,Red Terror,Communism,Genocide,Jews,War Against Christians,USSR,History",Red Pills,https://christiansfortruth.com/ukrainian-ss-soldier-recalls-jewish-mob-looking-for-christians-to-murder-during-red-terror/,Social media image from christiansfortruth.com on 2023-08-31 at 11.27.23 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/Z69C_4GSUMOs5lAKntjR-w/m43wwZRMHsooFulrkRsm5B2rmb9DEkweq8O1UGZTOK-6t28ma6qMHgzq4tcLF1nT7QR6peAnZXPm4yyxjEoFeyynhhxICs2SXXzMqiGfjn7sT5hTTwWV3ZUAJKM_P8ebMQHnkFwBts2yiA0CCYpeWofSoYahnVD-49A52-t9osE/v1UT-mfuKjEsGgdHz4-9MnpMJ3s18cKmzgXX9my_Gmk),recqXvE7RAQHNSCUt,,8/31/2023
How Franco's Belief In A 'Jewish Masonic Bolshevik' Conspiracy To Destroy Christian Spain Was Vindicated - Christians for Truth,(The Jewish Chronicle) A historian is now denying that there were enough Jews in Spain to organize a “Jewish-Masonic-Bolshevik Conspiracy” which Francisco Franco believed was actively hell-bent on destroying and overthrowing Christian Spain:,"WW2,Jews,Franco,Spain,History,Red Pills,Subversion,Communism,Freemasons",Red Pills,https://christiansfortruth.com/how-francos-belief-in-a-jewish-masonic-bolshevik-conspiracy-to-destroy-christian-spain-was-vindicated/,Social media image from christiansfortruth.com on 2023-08-31 at 11.27.04 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/gDn_2U-r-S4KuRutMfOaTw/NXtreyEzKTPukA1fW5Re4e6by158vpc5JB9vKAyJPciE5Vdk0kcd1WjaMykrV3pgG1S5Ou98BMcFwNsIYL5zvPYnHk_FqvvWvn7LdwWQXjxZ8QuqfuNWrkrEzj1cmspYAyrbU__Ym7WrChqb40ktHuDVP19PhfK6OhBeqfnHfzg/s3mRILwlsxgbo6-Ws0LxOpjgMJCWAnZcPqAQyMPJAxs),recHm5WLmpJ32pfJP,,8/31/2023
Evidence Of Israelitish Origins In Early European Pagan Myths And Religions - Christians for Truth,We often hear neo-pagans claim that Christianity is an alien “Middle Eastern” religion that was forced upon their noble pagan European ancestors at the point of a sword — while their own “natural” pagan religions somehow just sprang organically — just as did their Aryan race — like mushrooms from the fertile primeval forest floors.,"Jews,Israel,Religion,History,Satanism,Talmud,Christians for Truth",Red Pills,https://christiansfortruth.com/evidence-of-israelitish-origins-of-the-early-european-pagan-myths-and-religions/,Social media image from christiansfortruth.com on 2023-08-31 at 11.23.12 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/S5OYCAgWPmX1aJLuJQy1Og/8sXb97_8HPGPD9oI4mNSiSSvEP_Y_JtKZcMTojt1doDSsCamImQgskE4hZhp8b4ldw9E2UEuuuxf1MgVsJiIbzAHekHaFS0T2ofPgmukOUC8YSu05dl-QpN9hRFBbo36r6g6HC9lolzFGJr3pciot7KxAuJQISe9qwintdfMgBg/cRHCJAU18VdljniGEIeIVDFpmNYriKkCdKhmpFqi-Yk),rec9TmCe8ej4SpRWF,,8/31/2023
Pervert Journalist Gushes: Tel Aviv Is the “Gayest City on Earth” | National Vanguard,"We don’t know what the Boston Globe’s “Christopher Muther”’s racial background is, but his falsetto paean to Jew invert “culture” is so disgusting — and this in a paper accessible to children — that we will only excerpt a few key paragraphs here, with a few corrective edits. This piece confirms the fact that Jews have a much higher rate of sexual perversion than Whites.  TEL Aviv is, for lack of a better description, super gay. It could even be characterized as post-gay. Most urban centers have a concentrated epicenter affectionately called a gayborhood or a gay ghetto. Tel Aviv doesn’t need to bother with such a dated concept.  “Everything in Tel Aviv is gay, inherently gay,” said Leon Avigad, who owns two “very chic” boutique hotels with his “partner” Nitzan Perry. “The people are creative, open-minded, liberal, accepting, and daring. Tel Aviv is very open to new forms of art, new musical styles, everything is very accepting.”","Jews,NatSoc,Satanism,New World Order,Talmud,LGBTQP,Population Control,Israel,Tel Aviv",Red Pills,https://nationalvanguard.org/2020/03/pervert-journalist-gushes-tel-aviv-is-the-gayest-city-on-earth/,Screenshot of nationalvanguard.org on 2023-08-31 at 10.51.16 PM.png (https://v5.airtableusercontent.com/v1/20/20/1694750400000/oRCFkEVHggScCTrq7RQCWw/i0gA5a-DDSgmiE_6_-oF4byA46U3bJo5pqaEbsY6DReTPi9WbARVRLEQ8kbKhHp-M6wScpsEFeVzDFh8m_1Eem7Kso1nTfpz5e662aNPZyp8RKZH-y80iVSl6e-mx-cEj4YLqsT6Yv0G2XJAzjy0KKuh8wXXfzxYQ8exQp1ScPg/w8vCn5eeozbttGtt6iDJpa7Gv4eeQrrfeonz6lcvsXQ),recitayn7APnXpF2q,,8/31/2023
The Federal Reserve: a Jewish-Dominated Institution | National Vanguard,"THE ANTI-DEFAMATION LEAGUE of B’nai B’rith is a Jewish organization created to defend a Jewish murderer, Leo Frank, from posthumous acknowledgements of his guilt. They’ve failed to convince most people that Frank was innocent. But they’ve tirelessly continued the attempt.  In the 110 years since Leo Frank’s conviction, the ADL has branched out into many other matters involving living Jews, Jewish history, and Israel. Although the ADL isn’t always lying, it is usually trying to convince whomever it can about the myth of the eternally innocent Jews.","Jews,NatSoc,Central Bank,Satanism,New World Order,Talmud,Usury,Enslavement,The Fed","Red Pills,Banking",https://nationalvanguard.org/2023/03/the-federal-reserve-a-jewish-dominated-institution/,Social media image from nationalvanguard.org on 2023-08-31 at 10.50.14 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/DO2nG_HaNfNoifhJ_1CeqA/Pqeq3ENXkue29AuRroDgknikp11tjDM6sT5shKSpwaMHj-WfKwSIUA6lW4di-bR9thDTmolB8VXUkyXDs482-WYGeJBV1i8-VTSGSgAwfupDCtXhILMpY12-wGf8Yrqj3EHv2OXJTBgkKdFAIzOIeBkusR5XEd5d3KLJTAcCLp4/U3bIU_QR060-LjnfqTBTC0a6QH-FsF1MoLF3rYuzxGQ),rectkzrfOoMm9m1Ch,,8/31/2023
Jews and Bankers: Fake Gods Worthy of the Pit | National Vanguard,"I’VE DETAILED MANY TIMES on this program, and in articles on nationalvanguard.org, the facts that banking as we know it is the biggest fraud in the world — and a largely Jewish fraud — the whole basis of which is the creation of money out of nothing, and falsely calling such created money “loans” and demanding that consumers, workers, and taxpayers “pay it back” plus interest to the scamsters who created it from thin air in the first place.  You’d think that when running a fixed game like that, far more lucrative than even the ones their casino-mogul cousins and fellow Tribe members in Las Vegas operate, it would be very hard to fail. But, as we’ve seen with several major bank failures in just the last two weeks, the opposite is actually true. Failing this month we find Silicon Valley Bank, which served many wealthy clients and huge high tech players — Silvergate Bank, which was entangled with several “exchanges” which would be better called cryptocurrency casinos including Sam Bankman-Fried’s FTX (remember, Bitcoin is not “crypto” — it is the opposite of “crypto”) — and New York’s Signature Bank, which was once famously Donald Trump’s “go to bank” for many of his deals but dumped him after the January 6 fiasco, which catered mainly to New York City’s financial elite, and which also was intertwined with innumerable “crypto” scams and “rug pull” operators, many of them Jews.","Jews,NatSoc,Central Bank,Satanism,New World Order,Talmud,Usury,Enslavement","Red Pills,Banking",https://nationalvanguard.org/2023/03/jews-and-bankers-fake-gods-worthy-of-the-pit/,Social media image from nationalvanguard.org on 2023-08-31 at 10.48.48 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/Ln66uzCIxWtLeW1r04jDkw/xZd3e19EePtNPcPke_06OLTsVREnkaVUnmlinhX1Kl27nzavMkrMXD1N8ZQ5JMJyerzoEF-owfU07-4PvB_jpUuof1wZFuDiRCuqDW703oGAlg7qgKqlyReh5HGKb3wTKMUP_4itdYEljww6bzo4OGAL04XAvvmyu3EbDts6rWg/wpGN_R-RbqOh65qX-D_PTBYXUK4tftsVHLq1_z-PPWQ),reciVg8MuVdj5tKJg,,8/31/2023
Christians For Truth | The Truth Will Set You Free,"Welcome to Christians for Truth.  We are a group of non-denominational Christians trying to reach our brethren around the world with the truth. Our only goal with this website is to spread the truth to anyone with eyes to see and ears to hear.  We live in times of mass deception, where the entire world has been deceived by lies.  And the great dragon was cast out, that old serpent, called the Devil, and Satan, which deceiveth the whole world — Revelation 12:9  While most media outlets are busy raising more questions, our goal is to help provide the answers you need. In today’s world of 24/7 fear-based media, most people are feeling overwhelmed, confused, and frustrated with all the “noise” masquerading as “news”. Our message is not the gloom and doom of a drowning man, but of one who is ready to arise and move ahead.  And ye shall know the truth, and the truth shall make you free. — John 8:32  As peaceful, law-abiding Christians, we do not advocate violence or any illegal activity for the following reasons:  These means and methods are counterproductive in this spiritual battle we currently face. Our enemies use examples of violence (i.e. shootings) against us to take away our rights, particularly gun rights and free speech, and vilify those stating the truth. Violence alienates people who may otherwise be open to these truths. Violence and illegal activity generally achieves nothing, while destroying the lives of those carrying it out (life in jail). Many of those in the “alt” media subtly or explicitly promote violence either because they are too stupid to see the big picture, or they are intentionally trying to subvert and undermine our efforts to reach others. Of course, there is a time for self-defense and fixing our long-term problems, as the Bible explains, but we are to be smart in these perilous times.  Behold, I send you forth as sheep in the midst of wolves: be ye therefore wise as serpents, and harmless as doves. — Matthew 10:16  Our focus here is to reach as many people as possible with the truth in a peaceful, effective, and law-abiding manner.  One of our valued readers left a comment about our mission that we believe does well in describing who we are — and what our aims are as Christians:  “I have found in your writing something that is lacking in most other Christian Israel, Christian Identity, Revisionist History, and JQ websites: Pastoral sense.  It is far too easy to latch onto the intellectual thrill of uncovering the conspiracy, or to lapse into hatred of those who perpetrate it.  You keep the focus squarely on Jesus Christ.  I am not above a little humor at the expense of Christ’s haters, or a momentary flash of anger at their wickedness, but I try to put it all in context. When the Kingdom is restored, none of this will matter.  I appreciate you as a ‘worker who has no need to be ashamed, rightly dividing the word of truth.'”  Who runs this website? A small group of non-denominational Christians, located in various parts of the world, contribute to this website.  We have chosen to be anonymous for two reasons:  This is not about us. Many people in the alt media seek attention and internet fame, but our only goal is to help you find the truth, which ultimately leads to true Christianity. We value our privacy and yours. (The truth and those espousing it are the enemy to those who hate the truth.) Finally, my brethren, be strong in the Lord, and in the power of his might. Put on the whole armour of God, that ye may be able to stand against the wiles of the devil. For we wrestle not against flesh and blood, but against principalities, against powers, against the rulers of the darkness of this world, against spiritual wickedness in high places. Wherefore take unto you the whole armour of God, that ye may be able to withstand in the evil day, and having done all, to stand. Stand therefore, having your loins girt about with truth, and having on the breastplate of righteousness; And your feet shod with the preparation of the gospel of peace; Above all, taking the shield of faith, wherewith ye shall be able to quench all the fiery darts of the wicked. — Ephesians 6:10-16","Christians for Truth,War Against Christians,War Agasint Whites,Jews,Communism,Marxism,Anti-Semitism,Satanism,Talmud,New World Order,History",Red Pills,https://christiansfortruth.com/,Image from christiansfortruth.com on 2023-08-31 at 10.46.37 PM.png (https://v5.airtableusercontent.com/v1/20/20/1694750400000/eG08sSccCfMXOpIdkP9S4A/ziJetYON8u7D6bQ6isi4iF4bHuOBWIwUM3Y9t6hvdxX6IdwdVmiwRUHx82s1MXs18t81BNCBJjqPz3qxzxcGr8uFJASBxbflLoNoi5V5YcZQ1J3Q5bA-go6U3tELy6ruGxWO2tJCyAYPyh0k5IwMYuRJmRkSpk8xO2ngZc_Eo_I/sV7kG3Kur5UCJ0byUTfblD9Gro2iOLL96l_bpfWPSAk),rec4MwtP2syRf1zsp,,8/31/2023
Completely Normal Chicago 1933 - 9/18/2022 - Handsome Truth,Chicago 1933 Jewish Festival Child Sacrifice,"Satanism,Jews,Abortion,Talmud,Handsome Truth,NatSoc",Red Pills,https://www.bitchute.com/video/8jJpsaOf7Mit/,Social media image from www.bitchute.com on 2023-08-31 at 10.13.00 PM.jpeg (https://v5.airtableusercontent.com/v1/20/20/1694750400000/-g9nKO-LLOhc8sbpz-OTug/r3D2Mir-SwcNi3wOFvzLB-xywx5k7-ukvUco-1xH4MM6BxayKEujy44xuKBHrMAdVzKWVLI-MgOAyW38wYmJcLJ-U344Rb4_T8T34zZ57eYAozIhRBh1Xc4vdPifAzeVJlp65RdPBuFSidbmDO7Op0K1inMw7ucRkNhDqUmz9w8/FkHUNCBhCyxGef8latawrHMlDzOa3_dg56jARtXaKUQ),recRex7tDn85vKsBa,,8/31/2023
